"Time","Total Calls","Total Calls [Min. Call Length]","Connected Calls","Calls Not Connected","Calls Not Connected (Length Limit Reached)","Calls Not Connected (Contact Hung Up)","Calls Not Connected (Caller Hangup Within 5 Seconds)","Calls Not Connected (Caller Hangup Within 10 Seconds)","Calls Not Connected (Caller Hangup Within 20 Seconds)","Availability (%)","TOTAL CALLS INCLUDING HANGUPS (M)","Avg Call Length (s)","Longest Wait Time (s)","Avg Wait Time (s)","Avg Answer Time (s)","Avg Wrap Up Time (s)","Max. Queue Length","Avg Talk Time (s)"
"2025-01-08 08:00","154","154","76","78","73","5","1","3","3","49.35","815","318","1124","258.13","518.7","16.77","20","120.36"
"2025-01-08 08:30","37","37","25","12","4","8","3","3","4","67.57","447.7","726","1034","597.45","835.9","20","20","190.26"
"2025-01-08 09:00","24","24","19","5","0","5","3","3","3","79.17","231.3","578","972","401.38","468.28","17.76","10","223.37"
"2025-01-08 09:30","24","24","20","4","0","4","0","1","2","83.33","195.9","490","677","354","414.35","17.75","10","162.82"
"2025-01-08 10:00","31","31","26","5","0","5","0","1","1","83.87","196.5","380","599","238.53","261.17","17.52","9","168.94"
"2025-01-08 10:30","49","49","38","11","2","9","1","3","5","77.55","796.1","975","1815","825.7","1044.32","18.6","20","192.26"
"2025-01-08 11:00","61","61","15","46","32","14","1","4","7","24.59","305.7","301","1573","274.45","1050.89","17.33","20","106.54"
"2025-01-08 11:30","6","6","2","4","0","4","1","3","3","33.33","12","120","519","105.31","46.83","30.03","19","42.32"
"2025-01-08 12:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-01-08 12:30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-01-08 13:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-01-08 13:30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-01-08 14:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-01-08 14:30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-01-08 15:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-01-08 15:30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-01-08 16:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-01-08 16:30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-01-08 17:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-01-08 17:30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025-01-08 18:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","386","386","221","165","111","54","10","21","28","57.25","3000.2","466.59","1815","376.2","632.74","17.87","20","157.4"
