"Time","Total Calls","Total Calls [Min. Call Length]","Connected Calls","Calls Not Connected","Calls Not Connected (Length Limit Reached)","Calls Not Connected (Contact Hung Up)","Calls Not Connected (Caller Hangup Within 5 Seconds)","Calls Not Connected (Caller Hangup Within 10 Seconds)","Calls Not Connected (Caller Hangup Within 20 Seconds)","Availability (%)","TOTAL CALLS INCLUDING HANGUPS (M)","Avg Call Length (s)","Longest Wait Time (s)","Avg Wait Time (s)","Avg Answer Time (s)","Avg Wrap Up Time (s)","Max. Queue Length","Avg Talk Time (s)"
"2024-12-30 08:00","148","148","74","74","72","2","0","0","0","50","762.2","309","969","258.36","509.43","16.43","20","101.31"
"2024-12-30 08:30","39","39","31","8","1","7","1","2","3","79.49","766.8","1180","1758","1080.52","1339.98","16.44","20","124.74"
"2024-12-30 09:00","48","48","19","29","25","4","0","2","2","39.58","411.1","514","1596","462.3","1143.89","18.07","20","130.26"
"2024-12-30 09:30","53","53","28","25","18","6","0","1","1","52.83","792.4","897","2012","819.23","1489.19","16.32","20","146.75"
"2024-12-30 10:00","27","27","19","8","6","2","0","0","1","70.37","757.2","1683","2732","1568.23","2083.94","18.55","20","161.71"
"2024-12-30 10:30","39","39","12","27","27","0","0","0","0","30.77","494.2","760","2974","710.77","2310.02","14.97","20","160.95"
"2024-12-30 11:00","65","65","13","52","49","2","0","0","0","20","541.7","500","2364","465.29","2068.77","14.87","20","172.46"
"2024-12-30 11:30","49","49","18","31","21","10","3","6","7","36.73","516.3","632","1847","573.54","1506.67","13","20","159.55"
"2024-12-30 12:00","56","56","20","36","28","8","3","5","5","35.71","686.9","736","2128","687.58","1836.43","18.89","20","135.56"
"2024-12-30 12:30","29","29","16","13","12","0","0","0","0","55.17","826.8","1711","3094","1642.01","2807.15","11.17","20","124.27"
"2024-12-30 13:00","36","36","8","28","24","4","1","2","3","22.22","252.1","420","2273","381.44","1705.44","15.99","20","174.4"
"2024-12-30 13:30","39","39","20","19","2","17","2","7","10","51.28","486","748","1488","673.37","1206.66","18.08","20","144.92"
"2024-12-30 14:00","32","32","19","13","0","13","3","4","7","59.38","557.4","1045","1750","890.81","1427.35","17.65","17","259.7"
"2024-12-30 14:30","18","18","14","4","0","4","0","1","1","77.78","256.4","855","1289","720.15","851.89","18.89","15","172.84"
