"Time","Total Calls","Total Calls [Min. Call Length]","Connected Calls","Calls Not Connected","Calls Not Connected (Length Limit Reached)","Calls Not Connected (Contact Hung Up)","Calls Not Connected (Caller Hangup Within 5 Seconds)","Calls Not Connected (Caller Hangup Within 10 Seconds)","Calls Not Connected (Caller Hangup Within 20 Seconds)","Availability (%)","TOTAL CALLS INCLUDING HANGUPS (M)","Avg Call Length (s)","Longest Wait Time (s)","Avg Wait Time (s)","Avg Answer Time (s)","Avg Wrap Up Time (s)","Max. Queue Length","Avg Talk Time (s)"
"2024-12-09 08:00","262","262","66","196","194","2","0","0","0","25.19","936","214","1706","185.07","723.82","17.81","20","116.26"
"2024-12-09 08:30","177","177","22","155","152","3","0","1","1","12.43","630.8","214","1744","190.57","1516.84","18.61","20","186.83"
"2024-12-09 09:00","73","73","27","46","42","4","0","0","2","36.99","965.5","794","3050","733.75","1903.18","19.94","20","161.64"
"2024-12-09 09:30","57","57","14","43","40","3","1","1","1","24.56","522.2","550","2844","511.45","2030.69","20.32","20","155.44"
"2024-12-09 10:00","65","65","16","49","46","3","1","1","1","24.62","602.6","556","2580","518.55","2036.47","18.65","20","152.92"
"2024-12-09 10:30","53","53","14","39","33","6","0","2","3","26.42","537.9","609","2610","573.26","2080.88","18.73","20","134.8"
"2024-12-09 11:00","56","56","16","40","30","10","1","3","4","28.57","602.5","646","2653","603.54","1775.03","18.13","20","146.58"
"2024-12-09 11:30","62","62","18","44","36","8","4","6","6","29.03","625.2","605","2900","546.06","1854.9","20.65","20","202.76"
"2024-12-09 12:00","61","61","17","44","35","9","1","2","3","27.87","788.7","776","2805","723.29","2349.13","20.33","20","188.03"
"2024-12-09 12:30","36","36","14","22","17","5","1","1","2","38.89","613","1022","2996","936.14","2124.34","19.92","20","214.46"
"2024-12-09 13:00","45","45","13","32","27","5","0","0","0","28.89","410.8","548","2342","483.96","1509.75","21.61","20","220.45"
"2024-12-09 13:30","68","68","24","44","41","3","0","0","1","35.29","585.4","517","1447","448.37","1245.9","20.2","20","193"
"2024-12-09 14:00","36","36","24","12","0","11","1","2","6","66.67","665.2","1109","1695","975.41","1349.7","19.73","19","198.21"
"2024-12-09 14:30","66","66","24","42","38","4","0","3","3","36.36","765.6","696","2220","626.66","1686.06","20.82","20","190.54"
"2024-12-09 15:00","59","59","17","42","37","5","2","4","4","28.81","563.9","573","2220","532.71","1840.91","18.24","20","141.2"
"2024-12-09 15:30","66","66","24","42","38","4","1","3","3","36.36","665","605","1736","541.17","1485.08","19.07","20","174.04"
"2024-12-09 16:00","49","49","17","32","28","4","2","4","4","34.69","575.1","704","2146","644.38","1856.07","18.64","20","172.32"
