"Time","Total Calls","Total Calls [Min. Call Length]","Connected Calls","Calls Not Connected","Calls Not Connected (Length Limit Reached)","Calls Not Connected (Contact Hung Up)","Calls Not Connected (Caller Hangup Within 5 Seconds)","Calls Not Connected (Caller Hangup Within 10 Seconds)","Calls Not Connected (Caller Hangup Within 20 Seconds)","Availability (%)","TOTAL CALLS INCLUDING HANGUPS (M)","Avg Call Length (s)","Longest Wait Time (s)","Avg Wait Time (s)","Avg Answer Time (s)","Avg Wrap Up Time (s)","Max. Queue Length","Avg Talk Time (s)"
"2024-12-02 08:00","272","272","78","194","193","1","0","0","0","28.68","856","189","1066","161.16","554.21","17.39","20","96.31"
"2024-12-02 08:30","248","248","33","215","212","3","0","0","0","13.31","895.2","217","2193","193.33","1318.63","18.9","20","174.26"
"2024-12-02 09:00","107","107","22","85","80","5","1","1","2","20.56","870.9","488","3818","442.13","2095.96","20.15","20","224.63"
"2024-12-02 09:30","43","43","13","30","26","4","0","2","2","30.23","657.3","917","3926","865.17","2806.11","20","20","171.84"
"2024-12-02 10:00","75","75","12","63","62","1","0","1","1","16","320.4","256","2477","236.3","1476.34","23.07","20","125.1"
"2024-12-02 10:30","64","64","18","46","43","3","1","1","1","28.13","908.7","852","3485","787.67","2727.23","18.67","20","228.35"
"2024-12-02 11:00","54","54","15","39","34","5","0","1","1","27.78","442","491","3066","445.68","1564.72","20.27","20","163.44"
"2024-12-02 11:30","60","60","20","40","34","6","2","2","3","33.33","486.7","487","1956","431.88","1219.13","17.68","20","164.52"
"2024-12-02 12:00","82","82","21","61","59","2","0","0","1","25.61","1131.3","828","4059","790.7","3074.12","19.01","20","144.69"
"2024-12-02 12:30","120","120","9","111","111","0","0","0","0","7.5","365.4","183","3352","167","2226.7","16.73","20","209.47"
"2024-12-02 13:00","69","69","19","50","48","2","0","1","1","27.54","535.6","466","2204","423.86","1537.6","17.61","20","152"
"2024-12-02 13:30","45","45","20","25","24","1","0","0","1","44.44","543.6","725","1766","639.15","1437.47","18.26","20","192.61"
"2024-12-02 14:00","46","46","29","17","11","6","3","4","5","63.04","611","797","1583","686.28","1052.1","16.21","20","175.57"
"2024-12-02 14:30","34","34","24","10","6","4","2","2","3","70.59","503.1","888","1320","772.83","1089.24","16.23","20","162.88"
"2024-12-02 15:00","31","31","27","4","0","4","0","2","3","87.1","423.9","820","1081","649.89","739.93","17.94","17","195.8"
"2024-12-02 15:30","33","33","28","5","0","5","1","2","2","84.85","564.6","1027","1447","903.12","1045.91","17.45","17","145.39"
"2024-12-02 16:00","21","21","19","2","0","2","0","0","0","90.48","411.9","1177","1493","990.82","1070.03","16.16","17","205.7"
"2024-12-02 16:30","28","28","24","4","0","4","0","0","1","85.71","389.6","835","1057","695.07","773.29","18.15","15","162.97"
"2024-12-02 17:00","14","14","12","2","0","2","1","1","1","85.71","184","789","1003","635.48","726.04","15.79","12","178.62"
"2024-12-02 17:30","16","16","15","1","0","1","1","1","1","93.75","52.6","197","196","43.12","45.71","20.02","2","164.25"
"2024-12-02 18:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-12-03 08:00","255","255","68","187","183","4","0","0","0","26.67","759.3","179","674","153.62","550.57","14.97","20","93.91"
"2024-12-03 08:30","111","111","44","67","63","3","0","2","2","39.64","808.7","437","1429","382.03","935.7","17.49","20","138.12"
